text,zone,created_at
"Qué caos, qué ansiedad, qué país",San Miguel,2025-12-13T13:46:09Z
"LIBRE perdió, la esperanza también un poco",Mallasa,2025-12-23T06:01:20Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Mallasa,2025-12-13T14:31:51Z
"Qué caos, qué ansiedad, qué país",Calacoto,2025-12-19T21:59:59Z
"La gente bloqueando otra vez, qué novedad",Calacoto,2025-12-13T22:23:19Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Achumani,2025-12-11T00:10:41Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Obrajes,2025-12-22T00:54:55Z
"La gente bloqueando otra vez, qué novedad",Centro,2025-12-10T14:13:24Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",San Pedro,2025-12-12T13:47:30Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Sopocachi,2025-12-21T19:57:00Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Zona Sur,2025-12-25T18:23:42Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Centro,2025-12-15T04:53:33Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Obrajes,2025-12-21T18:45:25Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Obrajes,2025-12-15T15:06:34Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Centro,2025-12-17T01:24:46Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Achumani,2025-12-15T00:37:51Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Calacoto,2025-12-15T12:56:19Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",El Alto (Ceja),2025-12-21T02:32:26Z
"No puedo dejar de pensar en lo que se viene",Achumani,2025-12-11T21:38:23Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Miraflores,2025-12-21T01:23:36Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Zona Sur,2025-12-19T12:50:54Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",San Miguel,2025-12-14T13:45:42Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",El Alto (Ceja),2025-12-23T22:46:24Z
"La gente peleando por política y yo solo quiero dormir",Achumani,2025-12-16T00:12:31Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Mallasa,2025-12-11T14:55:00Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Villa Fátima,2025-12-19T17:42:56Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Zona Sur,2025-12-25T08:43:48Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",San Miguel,2025-12-21T16:25:51Z
"Qué cansancio mental, solo veo discusiones y odio",El Alto (Ceja),2025-12-25T00:52:36Z
"La gente peleando por política y yo solo quiero dormir",Villa Fátima,2025-12-19T21:30:47Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",San Miguel,2025-12-19T07:34:56Z
"Yo confiaba en LIBRE, ahora todo me da miedo",El Alto (Ceja),2025-12-15T05:32:56Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",San Miguel,2025-12-20T20:10:35Z
"Yo solo quiero que no haya violencia en las calles",Zona Sur,2025-12-25T17:55:48Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",San Miguel,2025-12-20T17:12:46Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Centro,2025-12-18T13:42:18Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Sopocachi,2025-12-12T09:18:13Z
"Qué cansancio mental, solo veo discusiones y odio",Centro,2025-12-13T03:43:03Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",El Alto (Ceja),2025-12-23T14:21:27Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Centro,2025-12-23T15:17:03Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Miraflores,2025-12-18T18:02:15Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Calacoto,2025-12-14T09:40:51Z
"No dormí anoche, me preocupa el país con PDC",Sopocachi,2025-12-18T11:34:11Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",San Miguel,2025-12-18T23:18:24Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Miraflores,2025-12-10T20:16:39Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Villa Fátima,2025-12-17T23:09:44Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Calacoto,2025-12-16T13:16:40Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",San Pedro,2025-12-21T14:01:10Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Centro,2025-12-12T19:20:48Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",El Alto (Ceja),2025-12-15T20:33:29Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Obrajes,2025-12-22T12:40:41Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Calacoto,2025-12-25T13:52:29Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Centro,2025-12-13T03:21:32Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Miraflores,2025-12-16T22:33:38Z
"La gente bloqueando otra vez, qué novedad",Centro,2025-12-24T18:03:44Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",El Alto (Ceja),2025-12-19T03:06:04Z
"Tengo miedo de que vengan días peores",Zona Sur,2025-12-24T23:22:32Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Obrajes,2025-12-10T15:31:31Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Villa Fátima,2025-12-10T10:26:34Z
"La gente bloqueando otra vez, qué novedad",Centro,2025-12-13T10:42:04Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Zona Sur,2025-12-10T12:50:36Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",El Alto (Ceja),2025-12-21T07:11:19Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",El Alto (Ceja),2025-12-24T14:03:25Z
"LIBRE perdió, la esperanza también un poco",Zona Sur,2025-12-14T01:29:43Z
"Yo confiaba en LIBRE, ahora todo me da miedo",San Pedro,2025-12-11T04:07:54Z
"La gente bloqueando otra vez, qué novedad",Obrajes,2025-12-17T19:29:18Z
"La gente bloqueando otra vez, qué novedad",Villa Fátima,2025-12-12T11:53:39Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",San Pedro,2025-12-16T23:23:04Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Miraflores,2025-12-25T13:37:20Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Obrajes,2025-12-14T03:20:09Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",San Pedro,2025-12-20T10:06:50Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Zona Sur,2025-12-19T20:54:00Z
"LIBRE perdió, la esperanza también un poco",El Alto (Ceja),2025-12-17T20:56:49Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Zona Sur,2025-12-19T21:31:09Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",San Miguel,2025-12-15T03:48:51Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Obrajes,2025-12-14T09:53:41Z
"No dormí anoche, me preocupa el país con PDC",Zona Sur,2025-12-22T09:26:05Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Zona Sur,2025-12-10T14:28:21Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",San Pedro,2025-12-16T15:36:47Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",El Alto (Ceja),2025-12-22T07:07:34Z
"Qué caos, qué ansiedad, qué país",Achumani,2025-12-10T17:11:33Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Mallasa,2025-12-12T16:05:03Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Zona Sur,2025-12-21T13:10:32Z
"Yo solo quiero que no haya violencia en las calles",Miraflores,2025-12-15T16:30:18Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Mallasa,2025-12-19T21:49:16Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Miraflores,2025-12-20T11:21:01Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Centro,2025-12-14T13:26:11Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Sopocachi,2025-12-16T17:43:50Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",San Pedro,2025-12-24T11:45:01Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Zona Sur,2025-12-13T10:23:00Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",Mallasa,2025-12-24T20:59:28Z
"La gente peleando por política y yo solo quiero dormir",Mallasa,2025-12-13T11:15:42Z
"Qué caos, qué ansiedad, qué país",Zona Sur,2025-12-24T13:00:59Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Calacoto,2025-12-20T05:20:04Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Centro,2025-12-12T02:30:31Z
"Yo solo quiero que no haya violencia en las calles",Miraflores,2025-12-18T22:42:27Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Obrajes,2025-12-22T12:38:52Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Obrajes,2025-12-20T12:20:24Z
"No puedo dejar de pensar en lo que se viene",Mallasa,2025-12-11T19:05:35Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Achumani,2025-12-11T12:58:46Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Mallasa,2025-12-16T04:04:38Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Obrajes,2025-12-15T05:04:10Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Calacoto,2025-12-22T03:52:55Z
"LIBRE perdió, la esperanza también un poco",Mallasa,2025-12-24T07:24:36Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Calacoto,2025-12-10T14:48:47Z
